LON,LAT,EDO,CLAVE,ESTACION,ene-24,feb-24,mar-23,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-23,dic-23
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",1.01,21.51,0,21.47,42.12,196.49,269.03,446.4,284.01,69.01,104.66,9.15
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",0,15.23,0,0,34.25,107.75,232.25,511,268.75,62.5,26.785,6.01
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",0,12.347,0,4.2,29.5,92,144.25,279.5,170.5,13,35.31,5.692
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",0.42,12.5,0,4.5,26.03,119.33,194.51,280.37,184.01,20.18,29.19,4.56
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",0.01,11.23,2.5,10.75,35.79,114.5,176.97,210.5,110.27,14.88,9.4,10.01
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",0.25,15.75,0,14.92,36.54,127.03,155.25,168.85,163.32,50,28.53,2.29
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",0,15,0,13.02,60.25,115.5,163.45,145.22,128.82,28.8,6.6,1.25
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",0.25,12.75,0,10.5,51.5,135.5,130.5,293.75,102.5,86.5,10.42,6.02
-99.140833,19.483333,DF,CCHVALLEJO,"CCH Vallejo, Cd. de Méx. UNAM*",0.9,14,0,24,25,18.5,168.5,411.65,238.5,58,40.3,0
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",0.25,15.25,0,9.45,18.5,105,2.5,13.44,33.77,9.53,23.5,0
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",1.25,36.75,0,8.75,21.25,154,161,153.75,153.68,29.41,87.63,18.27
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",3.42,18.75,0,2.25,20.75,109.25,213.5,202.29,159.24,22.58,19.63,2.11
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",1.74,13.5,0.38,20,35.53,158.51,119,123.25,104.75,21.5,17.43,5.56
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",1.78,15,0,7.51,78.5,146.25,180.2,223.42,169.62,12.3,27.086,12.26
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",0,14.25,0,10.35,20.25,118.5,193.57,246.42,214.57,121.09,0,32.95
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",0,11.4,0,13,9,49,127.32,165.87,110.6,24.75,11,7.113
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0.75,27.5,1,5,20.75,138,85,215,126,27,2.03,0
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",0,13.02,0,6.05,23.34,170.09,127.5,163.25,157.5,23.5,72.9,0
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",2.5,15.654,0,15.45,43,144.14,280.27,414.87,387.22,73.94,74.92,2.25
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",0,15,0,9.77,30,107.4,208.85,326.95,192.75,32.39,39.88,16.49
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",0.95,5,0,18,49,99.75,109.25,236.25,127.5,48.5,0,7.79
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",1,12.75,0,6.25,27.17,73.25,131.84,379.04,34.79,1.26,44.4,6.1
-98.960556,19.320833,DF,SSCDF,"La Caldera Subestación eléctrica Santa Lucía, Méx.",0,23.01,0,3.81,37,173.5,189.31,436.5,371.38,40.22,25.41,3.04
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",0.25,16.25,0,12.75,37.5,179.5,226.49,168.2,407.25,67.5,0,1.75
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SACMEX*",1.25,15,0,7,55.2,1.5,154.6,446.5,153.2,24.7,26.53,4.1
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",0,7.37,0,0,42.25,140.4,122.5,237.5,359,35,49.07,4.12
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",1.2,16,0,18,25.5,113.5,106.26,131.25,104.25,14,87.35,7.01
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",0.25,24.25,0,13.25,37.04,143.79,174.75,171.75,102.6,33.01,35.78,0
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de Méx.",0.3,11.75,0,6,18,131.54,121.22,255.28,138.52,13.83,20.82,5.54
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",0.32,15.3,0,9.25,27.2,150.5,159.75,336.75,151.79,149.27,0,2.15
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",1,14,0,0,44.19,117.2,163.07,432.46,125.73,117.61,16.95,4.42
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de Méx. UNAM*",0.79,16,0,6.25,66.25,140.73,227.75,246.59,309.25,98.5,10.92,9.15
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",0,29.75,0,5.4,12.45,205.75,206.55,186.13,229.75,57.5,22.61,6.29
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",0.5,16.25,0,6.34,34.25,84.34,153.25,13.44,108.52,26.08,8.25,6.64
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",1,13.25,0,22.55,31,109.75,120,160.52,117.58,23.52,33.79,0
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",1,17.64,0,23.12,25,129.25,2.5,43.9,31.99,9.53,39.41,17.62
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",0.25,26.75,0,6.25,28.75,18.5,171.56,232.47,164.29,27.25,33.79,2.03
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",0,0,0,1.75,10.67,132.82,52.5,328.25,17.02,8.38,44.17,4.57
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",0.5,16,0,9.45,28.75,58.7,160.6,179.38,162.32,15.62,37.09,0
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",0.75,12.11,0,13,39.29,163.25,207.25,359.75,212.33,14.33,49.01,3.56
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",0.5,13.25,0,4.57,17.25,156.58,154.3,334,174.63,36.39,20.56,3.79
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",0,18.75,0,3,29.75,136.64,162.25,223.28,195.75,48.75,25.66,4.31
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",5,16,0,6.86,41,92,98.75,144,227.75,53.25,47.3,8.32
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",1,17,0,31.97,36,122.25,167.46,248,130.42,23.33,40.12,6.76
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",0,11.5,1.78,9.25,30.84,107.75,177.1,230.06,122,38.53,28.91,0
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",0,14,0,10,17.25,145.41,164.78,149.5,195.5,25.36,0,0.75
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",2.25,14.75,0,3.25,72,166.5,151.25,629.25,177.12,105.82,24.8,15.74
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",0.5,15,0,26.04,22.5,127.5,126.25,521.5,0.75,2.25,62.99,7.56
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",0,13.5,0,0.25,49.75,94.74,296.25,140.37,435,43.5,39.1,1.01
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",0,15.5,0,7,34.04,237,155.89,250,370.05,67.39,55.88,7.36
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",1.75,12.75,0,8.75,30.12,28.44,203.69,272.49,162.61,27,8.85,0
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SACMEX*",1.5,13.25,0,20.75,37.78,102.95,153.44,3,105.26,27.27,0.76,21.53
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",0,15.5,1.78,16.76,82.62,146.02,156.94,350.92,167.7,83.5,20.03,4.57
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",2.75,15.5,0,13.87,31.5,115.06,54,203.75,5.25,11.67,32.25,2.29
-99.17,19.4,DF,RCMDF,"Radio Comunicación, Cd. de Méx.",0.5,26.75,0,2,81,133.25,100.5,150.29,235.84,56.75,39.92,3.54
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",3.5,0.25,0,7.27,62.25,182.25,116.5,320.54,117.25,115.25,2.8,4.57
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",0,15.75,0,3,25,114.25,163.52,299.07,197.08,23.75,22.45,0.51
-99.079167,19.465278,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",1.51,13.75,0,18.25,60.77,141.5,190.54,319.29,153.74,44.07,20.82,1.01
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SACMEX*",2.75,15.5,0,2.75,29.5,154.14,197.77,254.75,247.53,33.07,38.6,24.38
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",0,13.5,0,6.95,21.04,136.32,81.52,327.5,232.61,49.5,21.09,6.82
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",0,15.75,0,8,34,114.37,131,318,193.5,15.5,0.51,0
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",0.5,17.25,0,5.75,23.75,144.25,128.25,194.59,195.75,65.25,32.52,0
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",1.75,14.5,0,6.27,53.48,0,46,171,127.5,138.5,89.92,0
-99.186389,19.455556,DF,TACUBA,"Tacuba, Cd. de Méx. UNAM*",0.69,20.5,0,8.02,93.68,4.31,119.87,168.14,106.45,19.1,43.94,7.992
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",4.75,17.75,0.01,0,20.78,145.4,130.25,468.5,210.5,28.5,10.92,5.197
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",0.75,16,0,0,50,137,153.92,350.92,138.57,27.83,28.7,33.27
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",0.5,13,0,22.35,81,137.84,251.25,237.5,204.5,105.75,17.28,11.65
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",0.25,0,0,14.15,9.75,181.5,112.75,144.7,235.84,56.75,35.81,11.82
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",0.25,0,0,15.7,8.88,182.25,50.5,402.36,119.93,29.25,31.75,1.52
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",0,14,0,11.7,67.5,0,3.8,322.12,0,0,0,3.03
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",0,17.5,0,18.25,29.51,11.17,174.28,0,207.39,30,30,2.02
-99.141389,19.344444,DF,TAXQUENA,"Taxqueña, Cd. de Méx. UNAM*",0.79,13.91,0,0,50.27,107,166.49,139.45,315.95,37.38,37.38,6.07
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",0.51,24.25,0,0.51,42.25,162.9,214.31,310.51,220.72,19.79,19.79,0
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",0,15.75,0,46.25,1.27,113.73,2.5,320.99,0,0,0,6.05
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",0,0.25,0,10.63,35.77,51.25,189.28,166.09,101.86,22.86,22.86,0
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",0.5,14.939,0,2.5,69.52,5.34,257.74,321.25,221.48,18.1,18.1,9.63
-99.245833,19.274167,DF,ZACATON,"Zacatón, Cd. de Méx. SACMEX*",2,17.75,0,1.5,27.68,137.86,193.64,387.5,244.87,82.47,82.47,82.47
,,,,,,,,,,,,,,,,
,,,,,0.812857143,15.06064935,0.096753247,10.04519481,37.00467532,117.8049351,151.8564935,256.7901299,173.8712987,42.07662338,29.96611688,7.057194805
,,,,,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Enero: 0.10%,,,,,,,,,,,
,,,,,Febrero: 1.79%,,,,,,,,,,,
,,,,,Marzo: 0.01%,,,,,,,,,,,
,,,,,Abril: 1.19%,,,,,,,,,,,
,,,,,Mayo: 4.39%,,,,,,,,,,,
,,,,,Junio: 13.98%,,,,,,,,,,,
,,,,,Julio: 18.03%,,,,,,,,,,,
,,,,,Agosto: 30.48%,,,,,,,,,,,
,,,,,Septiembre: 20.64%,,,,,,,,,,,
,,,,,Octubre: 4.99%,,,,,,,,,,,
,,,,,Noviembre: 3.56%,,,,,,,,,,,
,,,,,Diciembre: 0.84%,,,,,,,,,,,
